Metab,/Cr+PCr,/Cr+PCr CRLB,mMol/kg,mMol/kg CRLB,mM,mM CRLB,%CRLB,SNR,FWHM
Ala,0.05333643833060377,0.02980745596949906,0.5900144968274645,0.24962402674456885,0.46817991941652987,0.1980781105449303,42.30811752707923,0.6872054605831368,4.195111198196266
Asp,0.5072017772308383,0.04948560513900746,5.610730876477353,0.5032415839008103,4.452147436616555,0.3993251105940639,8.969269690168531,3.4341346459256297,4.107851469239865
Cr,0.5671077516895432,0.03348838466409332,6.273418421493477,0.30136852618746807,4.977993840547736,0.23913767045352263,4.803896471418895,17.99777342631744,4.25661100163055
GABA,0.2959967142748453,0.042571650144733165,3.2743534795657334,0.4187668100117832,2.598218444542057,0.33229388840418,12.789297570503072,2.706419789679309,4.738669167771825
GPC,0.056814497489398576,0.023198577047007993,0.6284892317130708,0.13944328331650782,0.49870984431697346,0.11064905268825939,22.18706006090634,5.383085540415113,4.307520654366293
GSH,0.2373941478449915,0.024089386565080795,2.626084400730959,0.15684145158715881,2.0838131770086967,0.12445459994641525,5.972445194202543,5.897619656147424,4.090484743704215
Glc,0.02855116176681018,0.03854407631926682,0.31583660009817827,0.36794998932836226,0.2506181708718191,0.29197044696249375,116.50011088454741,0.32459888787045044,9.946754490242625
Gln,0.36228089177463557,0.03668157089255006,4.007597521710952,0.34386343666447866,3.1800518374672926,0.2728576279625622,8.580288684220815,2.803522796546788,7.248705980362757
Glu,1.3700512956534634,0.03939832116424089,15.15568251524911,0.37885995483343116,12.026121827251936,0.3006275677594662,2.4997881451543718,12.23939778753029,6.084712261258174
Glyc,0.0,0.041023686136879935,0.0,0.39941277093895067,0.0,0.3169363463400012,999.0,0.0,0.0
Lac,0.18644446162166353,0.03293180407873551,2.0624724607239826,0.2937671980521801,1.6365838393000285,0.23310597256648172,14.243448271258858,2.5112590171292464,4.186688966358071
MM09,0.6958562927616432,0.04807829093562776,7.697651235973297,0.48626147754937304,6.108130825145469,0.38585129788938266,6.317011028986815,5.937967662680902,22.280090834430265
MM12,0.24735678054250884,0.09126617927665841,2.7362923167839095,0.9863448277957915,2.171263796500547,0.7826703317925137,36.046763781257404,2.074020467264771,22.867713675523397
MM14,0.40567980259865977,0.13643561242974309,4.487681819315884,1.49381329427512,3.5610015073048884,1.185349498186282,33.28696985257395,2.8515593255298257,27.07398438784736
MM16,0.4641715577200524,0.09147167527189633,5.13472508929557,0.9886715178457532,4.074434088414303,0.7845165738186938,19.254614427301085,3.456675223846763,25.724896452842287
MM21,2.251391292729058,0.33155408632785455,24.905178191830583,3.661361030928122,19.762403096199304,2.905311177321835,14.701203913205186,5.751145404451633,0.0
MM30,0.39514461726087635,0.0724896278574601,4.371140252788188,0.7724082676612789,3.4685250994894923,0.6129104326330947,17.67063564635311,3.4366311835761154,22.191624390661413
MM39,3.544392060206873,0.7349999589132072,39.208517917895726,8.127808821152167,31.112185985169013,6.4494633595973205,20.729701740249755,8.007202432791432,0.0
NAA,1.553395694816434,0.02892402556070877,17.18386168888928,0.23656485542041836,13.635493744692827,0.1877155824866149,1.3766687587655349,49.9879979580549,4.218312857527884
NAAG,0.0,0.025675182540977157,0.0,0.18508457612472654,0.0,0.1468656827946663,999.0,0.0,0.0
PCh,0.13605614985454315,0.0236958899642088,1.5050705166912044,0.14932602961928784,1.1942821693527628,0.11849106910061644,9.92153045078386,13.110858145816158,4.209530916063575
PCr,0.43289224831045686,0.03187990878454933,4.788709371335195,0.2792069653878125,3.799868612781739,0.22155234364355886,5.830526426580018,13.918425462687283,4.21245728536851
PE,0.1059413682192853,0.05794770936428547,1.1719369537888522,0.6037389550322289,0.9299387583464169,0.4790703564666234,51.5163339700443,0.7144100918649021,15.38463638506682
Scyllo,0.03698802386525637,0.020076235843154353,0.4091662468016627,0.0539431126071041,0.32467578590968843,0.04280417218435911,13.18366630404199,2.361227628526988,4.236343540678145
Tau,0.2661783933318037,0.037169670345384855,2.9444994027262275,0.3502186861438654,2.3364773247148043,0.2779005552213501,11.893997527036616,2.61730821153671,12.12153768713453
bHB,0.0,0.03316461000078859,0.0,0.2969548148707575,0.0,0.23563536496832424,999.0,0.0,0.0
mI,0.8368228374888658,0.043366595251834866,9.257041168259333,0.4286321720498485,7.345515765282147,0.34012211030183104,4.630336673013276,16.828883394287985,7.001719557326592
Cr+PCr,1.0,0.027541829523589474,11.062127792828672,0.21543509830792487,8.777862453329474,0.17094899787655765,1.9475014422413977,,
