Metab,/Cr+PCr,/Cr+PCr CRLB,mMol/kg,mMol/kg CRLB,mM,mM CRLB,%CRLB,SNR,FWHM
Ala,0.036867401826678414,0.026695174740823367,0.3822509568725705,0.17128419958071986,0.3018504809019768,0.1352572624993748,44.80935796265912,0.612780375184856,3.841514113766875
Asp,0.3837492370489629,0.0407793370943397,3.9788134176283756,0.36262755616019826,3.141932601965305,0.28635455385335884,9.113962332426917,3.340984802075492,3.8718679167187298
Cr,0.5831279914240798,0.030427235525988815,6.046024988387877,0.2285952357108139,4.774338736053553,0.18051382368210186,3.780917812113888,23.714901663136867,4.091206191827734
GABA,0.23342810751175463,0.03546242921189699,2.4202442547159153,0.29651485077415823,1.9111839461785485,0.23414761609241663,12.25144322505427,2.6712064840650216,4.345640485041436
GPC,0.04184582427775475,0.023027963525385265,0.4338685553837502,0.09867116409766816,0.3426111295111544,0.07791723682713489,22.74217914003816,5.0709086483380155,4.138366637390312
GSH,0.20342167507901768,0.023770940630018722,2.1091296401393653,0.11607695802175516,1.6655073969452887,0.09166199579242862,5.503547805344251,6.490177678531856,3.929978003693102
Glc,0.023484742808063924,0.03323909005881202,0.24349601451417077,0.26739603728712197,0.1922804580534232,0.2111534869834423,109.81536507718089,0.3252806544434621,8.827842149107923
Gln,0.32833852525396945,0.03253832154090041,3.404300526695568,0.2579639797205912,2.6882594605524393,0.2037053143597658,7.577591276026021,3.0984020349661376,6.216680921170337
Glu,1.274943314223045,0.03607795427322671,13.218948927054162,0.3043925885558233,10.438550954314938,0.24036839564852375,2.3026988774640578,13.883338342430829,5.139281122502948
Glyc,0.0,0.03417131105815042,0.0,0.27974300144795666,0.0,0.22090346145079168,999.0,0.0,0.0
Lac,0.10451954064521254,0.028205363005755338,1.0836861954997596,0.1955791207787314,0.8557498506602401,0.15444212918249506,18.047578864704178,1.8003448439591954,3.8410806221232665
MM09,0.6616185432435007,0.045279219777418986,6.859835754860673,0.41608753203763393,5.416977209042153,0.3285700647303965,6.065561143250505,6.295287335744863,21.74975198897862
MM12,0.13886605724004278,0.08974636690213557,1.4397999486558857,0.9047574353223419,1.1369606775093122,0.7144559406367447,62.83910734730691,1.321418776738479,21.984954961894605
MM14,0.3160196945500251,0.26499236128544174,3.276575637204537,2.7388948687173618,2.587399492453335,2.1628114158989487,83.5901615582448,2.1552691829689334,30.208663734691832
MM16,0.5295785939324306,0.29172249916019893,5.49081069562694,3.016831611176171,4.335905036254053,2.3822885365265063,54.943282120049666,2.764186732670337,38.80724964703805
MM21,2.9989221594067397,0.4544644220532739,31.093616805675012,4.706988509799173,24.553563613193617,3.7169475176921742,15.138118345049142,6.804852912790645,0.0
MM30,0.5704945338384748,0.07157524469770117,5.9150379643114475,0.7095480590953084,4.670902772065712,0.5603057860555797,11.995663652142,5.437014779473894,22.221524616781064
MM39,5.036631738727249,0.6544396444299657,52.22112777554268,6.781918904286608,41.237234986297175,5.355448942354283,12.986925394328349,12.805972137446995,0.0
NAA,1.4597452008965353,0.03222350723248822,15.135023684502357,0.25368029453651597,11.95160952638984,0.2003226349717928,1.676114288451852,59.88370841916436,4.059939712467598
NAAG,0.06359227044421747,0.024550712460685638,0.6593414513254695,0.13238005680378423,0.5206593484801861,0.1045359941934017,20.07761783180195,2.908784598901375,4.325185462903558
PCh,0.15603017758279478,0.023496653159704534,1.6177620805071506,0.10990960301657539,1.2774912742699975,0.08679184690009417,6.7939287452033685,19.200489612681643,4.049005458157562
PCr,0.41687200857592027,0.0286607432788883,4.322239058794358,0.20257098471330115,3.413124061597359,0.15996336452044774,4.686714037742423,17.089455360326777,4.056317348446803
PE,0.20561240570842873,0.04744618050502924,2.131843713761349,0.4412813585105707,1.6834439224732662,0.3484647661036414,20.699517308048325,1.6606606797977752,15.195071642931824
Scyllo,0.03770233304299708,0.02133587862508247,0.39090774418459745,0.04081895349574851,0.3086864491741833,0.03223332871005629,10.442093845158686,3.060048357319149,4.097209465645124
Tau,0.3223049079977549,0.032563077279193504,3.3417423898235,0.2582995680422629,2.638859443731918,0.2039703169567781,7.729487731575426,3.8109028582346878,11.405062378121666
bHB,0.035376943827328824,0.02850451457571296,0.36679749478407897,0.2001872348573793,0.28964741148084083,0.1580809989503338,54.57704529176859,0.6066065691064189,3.8635245825460185
mI,0.8357543996195591,0.036906273614079686,8.665322293849849,0.31488685896289553,6.842708054858213,0.24865536135034186,3.633873597366185,20.99128198783741,6.5295852424998575
Cr+PCr,1.0,0.029655368240813947,10.368264047182237,0.21741743716644105,8.187462797650912,0.17168709923476674,2.096951198166372,,
