Metab,/Cr+PCr,/Cr+PCr CRLB,mMol/kg,mMol/kg CRLB,mM,mM CRLB,%CRLB,SNR,FWHM
Ala,0.043731123911733824,0.039106304653306535,0.43313179968312326,0.24590526319185918,0.3478862899117964,0.19750817128685877,56.77377264189839,0.609400966134005,4.4734957543479394
Asp,0.5760843741373365,0.060749721950080444,5.705786621058682,0.5219968219899914,4.582819686942077,0.41926161478030655,9.14855140329691,4.320303508759116,4.513051730643092
Cr,0.7361612562912802,0.04723331892776804,7.29125669026944,0.3595871624122887,5.856250316019532,0.28881611537883106,4.931758374275541,25.66982528087031,4.786412263104001
GABA,0.18971574640642053,0.05285905019605436,1.8790260875776803,0.42958239923671143,1.509211317970907,0.3450354538530797,22.86197100065287,1.887616437166158,5.058123445228269
GPC,0.035228529358857945,0.033447848405922624,0.34891845798863036,0.14211236328638882,0.2802471393700795,0.11414295337000985,40.72939107481084,3.663043309749566,4.843189455111641
GSH,0.25195119184258835,0.0343662298568002,2.4954326208343156,0.1621893022604031,2.0043016855886293,0.13026851103528678,6.49944626459909,6.789235530555425,4.62138444022947
Glc,0.0,0.048317976640301866,0.0,0.3734565811067398,0.0,0.29995586687335496,999.0,0.0,0.0
Gln,0.40357886739487187,0.047283500791436985,3.997218125507969,0.36023354613492203,3.210517871623582,0.28933528306702855,9.012106290525322,3.46283337520467,7.451246837112235
Glu,1.5948831219726785,0.053220042181982036,15.796406200274038,0.43393267008158354,12.687484850970074,0.3485295394534471,2.7470341328273493,15.426282185870555,6.385081805154846
Glyc,0.0,0.05302475117381665,0.0,0.4315810084718749,0.0,0.34664071292736875,999.0,0.0,0.0
Lac,0.1894285640797443,0.04205719655839432,1.8761817106931178,0.2897658753147263,1.5069267484190865,0.23273649124823692,15.444446220919513,2.765479197535939,4.459418677232957
MM09,0.7970040236938275,0.13502581389108598,7.893869543210456,1.3034426677924216,6.340261764304292,1.0469095876654195,16.512087774664543,7.005704125954792,23.471160858375555
MM12,0.38118714916758073,0.332031614720796,3.7754409483798574,3.274939610725403,3.0323890909737776,2.6303923925556916,86.7432349095744,2.1817972470754485,34.93013079833515
MM14,0.5856150032562821,0.4932270425154476,5.800182057835775,4.875957728496998,4.658636974679924,3.91631102859351,84.06559793946134,3.7352170424855586,31.9702364877264
MM16,0.37632201196331183,0.20071261686682904,3.727254543721163,1.965291035256096,2.993686346097586,1.5784982939427352,52.72757769030759,3.537778480388751,22.37096613512335
MM21,2.7248389058298494,0.4970011398467471,26.987972719630992,4.9134078037754865,21.67641745201334,3.946390481903294,18.20591659410373,8.017580970648309,64.97768681419957
MM30,0.45210802689546653,0.08696504744565502,4.477871726682898,0.807683936551453,3.5965731050832868,0.6487220940919246,18.037228081782644,4.286553317072256,22.238507223922397
MM39,4.433379854431731,1.2704796382436778,43.91009476236409,12.579816180509587,35.268063826599374,10.103958153180104,28.64902990665351,8.535974000311358,0.0
NAA,1.6461077817697336,0.04922841131652522,16.303757192003317,0.384943940844859,13.094983109756193,0.30918237705593704,2.3610750351070404,57.689242350050606,4.775760702690674
NAAG,0.029414895725676175,0.03634844139751526,0.29133773805742563,0.20013961764386828,0.23399899263513185,0.16074975122452032,68.69677062036457,1.1624728846978318,5.143495737085418
PCh,0.14708604063173913,0.03417464157248041,1.4568032053252646,0.15816822423731366,1.170086940286981,0.12703882917881293,10.857212810840775,15.436894596220128,4.777568048846659
PCr,0.2638387437087197,0.04249341442160006,2.6131720309623594,0.2959431532127607,2.0988685739949173,0.23769800709924002,11.32505436711616,9.246241674320581,4.762363502308908
PE,0.26460539818357287,0.06968035200519689,2.620765305562356,0.6218899608360763,2.1049674014899358,0.499494591177404,23.729326678591427,1.9761222478633174,15.742834112451975
Scyllo,0.0355539690835166,0.030677325263715315,0.3521417525445693,0.05261043343794874,0.2828360510712727,0.042256071968785176,14.940129381928383,2.4841942473556307,4.765142359133279
Tau,0.27368041490418243,0.04764566187771184,2.71064816181562,0.3648846016311992,2.1771602384312536,0.2930709553080357,13.461156883850087,2.990417695527691,12.645942633269847
bHB,0.0,0.04321721818272096,0.0,0.3060524530165151,0.0,0.24581767599657592,999.0,0.0,0.0
mI,0.8972828116905721,0.0580678260976237,8.887073651175728,0.49114278010885704,7.137991444964949,0.39448001673863947,5.5264848631459325,20.4785245467492,7.151053865763646
Cr+PCr,0.9999999999999999,0.04272898245172631,9.904428721231799,0.2992519462999169,7.955118890014449,0.24035559019985442,3.0213953244816665,,
