Metab,/Cr+PCr,/Cr+PCr CRLB,mMol/kg,mMol/kg CRLB,mM,mM CRLB,%CRLB,SNR,FWHM
Ala,0.03416258163967733,0.04105919076412005,0.30664490440994024,0.24217299472554538,0.24629352588190534,0.194510457818001,78.97505917848054,0.387451750743169,5.236302264995441
Asp,0.5497135398302411,0.06171199076310284,4.93425402248629,0.4792257658534196,3.9631339158679593,0.38490841317782226,9.712223239206997,3.3308071147909266,4.8384827222106015
Cr,0.3594632746276529,0.04617336672503885,3.2265588897725306,0.30755746507559734,2.591533575152152,0.2470264837125868,9.532058009245878,10.262220049793372,4.994188661188447
GABA,0.22249680935945676,0.05616709432282588,1.9971415965328005,0.4207077043525565,1.6040802844644826,0.33790740488598336,21.065492055392525,1.8740949656933281,5.5880300267542875
GPC,0.14558340505434764,0.03443987603469405,1.3067633411731145,0.13558404335313406,1.049576712875952,0.10889948474775964,10.3755622063454,12.399306930043503,5.001042154809731
GSH,0.23386671962870345,0.0353808333765843,2.0991984341698426,0.15387107032384742,1.6860511178959134,0.12358740646353458,7.329991668210152,5.207080210269649,4.8009178231139815
Glc,0.10585458143707248,0.050592237285333054,0.9501555927033831,0.35922505736073285,0.7631536272015803,0.2885252769249557,37.80697183907169,1.1334682005661971,10.287643025637006
Gln,0.35650022012119165,0.04777588748531182,3.199962376210453,0.32668298303251525,2.570171573021464,0.2623878713768988,10.208963250980116,2.711706755317361,13.812861412990095
Glu,1.4369087505129268,0.0518542234771415,12.897759048019207,0.373442283420804,10.359326068125993,0.2999443831427257,2.895404403435153,12.334338279209057,13.309275197324776
Glyc,0.0,0.05450461275672843,0.0,0.402704649347608,0.0,0.32344756606248554,999.0,0.0,0.0
Lac,0.14200251161325775,0.04498483436791048,1.2746210769108062,0.29302277223840834,1.0237604299991012,0.23535239196998906,22.9890104240692,1.699224038341707,5.28002024236493
MM09,0.7349516591559009,0.0592222673783668,6.596959903230453,0.45320907293054635,5.298599426573455,0.36401211606148404,6.869968585205669,6.302003893766235,22.32418273971763
MM12,0.1669336536176699,0.1669488682646522,1.4984041544723243,1.4725635987961772,1.2035003259265664,1.1827455001437197,98.2754615569491,1.4310313801612276,22.32805133071866
MM14,0.4943384956719968,0.35405084028021805,4.43720507865356,3.165810278394871,3.5639101389459,2.542741015832036,71.34694525670909,3.203736293410227,29.177505287574096
MM16,0.3275102590250279,0.1529116406404074,2.9397471517598404,1.344131906533634,2.3611698117125117,1.0795906983928505,45.72270461182307,2.811218513423285,22.317159201155732
MM21,2.389121164191079,0.40232354299497686,21.44486147868473,3.6005726924315047,17.224256688033517,2.8919369957230363,16.789908836717455,6.242836789799188,0.0
MM30,0.27867895059847286,0.09136855492137935,2.5014350808921564,0.7716409603548445,2.009122789837714,0.6197728059639445,30.847930703827526,2.4086484615238057,22.007164675821922
MM39,3.1656610182855998,0.5619393491634583,28.41511893290365,5.036336880713701,22.82268425038815,4.045125648726888,17.72414499691504,10.031938153057116,0.0
NAA,1.4844950039810254,0.047396704631043805,13.324895448302394,0.32220210695101287,10.70239692482483,0.2587888852098965,2.418046041720063,42.43928394249572,4.991074125966499
NAAG,0.0,0.037423461138894505,0.0,0.18883312492710358,0.0,0.15166851127393793,999.0,0.0,0.0
PCh,0.021675796744331392,0.0348556294947421,0.1945629487484358,0.14388962744855754,0.15627063735313557,0.11557043072452969,73.95530771616883,1.8687503132468601,4.952249305354428
PCr,0.640536725372347,0.046090488444166265,5.7494871141335295,0.3065542475965633,4.617919401195907,0.2462207114118433,5.331853807324555,18.38144118696673,4.971279063118839
PE,0.4633944301728371,0.07183793657745398,4.1594497231852205,0.5819045403027455,3.340820353832674,0.4673787788309539,13.989940473595508,2.936131152831125,15.892265669834982
Scyllo,0.03633299624760036,0.03149726595820018,0.32612664577820716,0.05244396467714849,0.2619410279369054,0.04212236624774742,16.080858573210445,2.079562879479372,5.004168800953557
Tau,0.21002035021421261,0.050344873786222315,1.8851523252792344,0.35641404624664397,1.5141318389455172,0.2862675063615922,18.906379153941888,1.9587329128038453,13.292203403444724
bHB,0.0,0.04542875211659679,0.0,0.2984896888269367,0.0,0.23974335409891098,999.0,0.0,0.0
mI,0.8818040391338644,0.055017585819748305,7.915113621695747,0.4082861493120026,6.3573247544893805,0.32793056019077765,5.158310655110099,17.039464725966322,7.311240390961982
Cr+PCr,0.9999999999999999,0.04377079193598402,8.97604600390606,0.27781422304104725,7.20945297634806,0.223137066844746,3.0950623795839753,,
