Metab,/Cr+PCr,/Cr+PCr CRLB,mMol/kg,mMol/kg CRLB,mM,mM CRLB,%CRLB,SNR,FWHM
Ala,0.042599548585590806,0.023908919467096244,0.3691894777133683,0.16307217961303455,0.2915362784268457,0.12877251175681803,44.17032159828799,0.7109842324710148,4.488030494322809
Asp,0.36509907350587256,0.038535078528112096,3.1641353191911614,0.30852916789573775,2.4986092266478717,0.2436349105926803,9.750820896452877,3.2192828696551063,4.089769822949396
Cr,0.5584597829312151,0.026557495778293777,4.839898131081028,0.19139445978677566,3.821901690805735,0.15113764580547984,3.9545142191665565,23.59401535005644,4.201298154930311
GABA,0.30174988335837366,0.03414951006533774,2.6151188342598903,0.2669240410086703,2.065069723292585,0.21078076769766158,10.206956468355404,3.649533422723294,4.790485898573948
GPC,0.11420144100092107,0.017967779158969754,0.989728101755174,0.08891518608309901,0.7815543639740137,0.07021327532639622,8.9837992803698,14.052213572201824,4.324543407552062
GSH,0.16872097118022428,0.01869178450340325,1.4622222370306692,0.09949581404577224,1.1546667902270564,0.07856843463039898,6.804424903824341,5.573802466056379,4.037775464354465
Glc,0.0,0.031176769676808977,0.0,0.2380389319840481,0.0,0.18797118699360368,999.0,0.0,0.0
Gln,0.30812686718799903,0.029548442158479196,2.6703850379548824,0.2218913525688269,2.10871155037772,0.17521999690695006,8.309339268121523,3.2082907539188428,7.227671214737663
Glu,1.2233826140566926,0.03151410758432659,10.602459493666524,0.2413522876261556,8.372398915861606,0.19058763039547813,2.276380190561724,14.768207544750174,6.112423056714222
Glyc,0.0,0.032517653958672135,0.0,0.251151959872995,0.0,0.19832609573403928,999.0,0.0,0.0
Lac,0.07318091841653485,0.02592325882157288,0.6342232710401012,0.18474803880719656,0.5008243823088694,0.1458891949307532,29.129810784807226,1.2796128469699048,4.517694274176421
MM09,0.764645947169595,0.038120547991960074,6.626812894601273,0.30463682456434643,5.2329670419887275,0.24056126045448653,4.597033738684967,8.699549780095904,22.238610157087155
MM12,0.21946602606508808,0.11028071603145076,1.9020048387603035,0.947161103470063,1.5019480394631872,0.7479406641992928,49.79803858371925,2.496726201005149,22.212475831048142
MM14,0.6834738154428877,0.2905134223900628,5.9233336815093205,2.5144904135311466,4.677453615642645,1.9856069079790746,42.45059536964041,4.673997874739133,36.009766587313614
MM16,0.304619249866116,0.13105807021030283,2.6399862320970575,1.1285993226115187,2.084706655158872,0.8912162079675304,42.7501972885299,3.4763783138137807,22.216671649411822
MM21,2.455684510144804,0.2792789222349348,21.282218047630405,2.416995673016992,16.805838250601237,1.9086186525398043,11.35687862800609,7.742382481259485,0.0
MM30,0.35450518020077926,0.06473763374877244,3.0723232210324154,0.546291413235884,2.4261083591325137,0.43138760762564604,17.781052771274165,4.05432438598799,22.014329517671737
MM39,3.736382222389843,0.46880158655204796,32.38139949887193,4.06086268387119,25.570481473698333,3.206724095688902,12.540726301877896,13.66670050873339,0.0
NAA,1.3459766681137326,0.02056837783786383,11.664922272987907,0.12422985524194648,9.211389362092254,0.09810005932742599,1.0649865668597007,56.4025734188486,4.245711239484972
NAAG,0.052464146993351356,0.01936981941716761,0.4546811332574627,0.10880141214018493,0.35904610901098155,0.08591674654270999,23.92916797772127,2.4553654559299876,4.597446184308379
PCh,0.08502217473047265,0.018368260181672126,0.736845655059718,0.09486242733697914,0.5818617621000604,0.07490960793262759,12.874124545023067,10.679388043018038,4.235313000335028
PCr,0.4415402170687848,0.025130824174441974,3.826613368955049,0.17633256820661058,3.0217454394236483,0.13924378619564792,4.608058123592521,18.525736256763903,4.231894799989144
PE,0.17361218805248002,0.04698384691327698,1.5046120243032441,0.38659837656532337,1.188140552538199,0.30528348924727094,25.694223515483955,1.5267745195557048,15.387469114386265
Scyllo,0.04648753025443916,0.015316851952803285,0.4028847155583721,0.03575903608049382,0.3181442530172442,0.028237685330599487,8.87574899209917,3.9361688862659627,4.211970742559689
Tau,0.2671985446567252,0.030708021467237428,2.315679260060412,0.2334175638775337,1.8286125533414652,0.18432185097417428,10.079874527677216,3.4599236189999916,12.168097706588776
bHB,0.0,0.026542975076210954,0.0,0.19124310818724616,0.0,0.1510181286341507,999.0,0.0,0.0
mI,0.8495843800078088,0.033468224726599105,7.3629327995886955,0.2603621058509318,5.814255704128151,0.20559903238111332,3.536119545535931,22.6072159112346,6.892419277033768
Cr+PCr,1.0,0.020860542485225165,8.666511500036076,0.12783651363223164,6.8436471302293835,0.10094811385805115,1.4750631050532788,,
