Metab,/Cr+PCr,/Cr+PCr CRLB,mMol/kg,mMol/kg CRLB,mM,mM CRLB,%CRLB,SNR,FWHM
Ala,0.043731123911733824,0.039106304653306535,0.4858698294822035,0.2758466323258056,0.3902448457543418,0.2215567214752971,56.77377264189839,0.609400966134005,4.4734957543479394
Asp,0.5760843741373365,0.060749721950080444,6.400521907335818,0.5855550367718971,5.140822773740556,0.47031081400804875,9.14855140329691,4.320303508759116,4.513051730643092
Cr,0.7361612562912802,0.04723331892776804,8.179038452969593,0.4033704138395445,6.569306027706048,0.3239823001531809,4.931758374275541,25.66982528087031,4.786412263104001
GABA,0.18971574640642053,0.05285905019605436,2.107815878289004,0.48188825484158865,1.6929725461201413,0.3870468925430012,22.86197100065287,1.887616437166158,5.058123445228269
GPC,0.035228529358857945,0.033447848405922624,0.3914026903823631,0.15941593244316368,0.31436996756699087,0.1280409735121157,40.72939107481084,3.663043309749566,4.843189455111641
GSH,0.25195119184258835,0.0343662298568002,2.7992759313819082,0.18193743495802284,2.2483450047313283,0.14612997542531053,6.49944626459909,6.789235530555425,4.62138444022947
Glc,0.0,0.048317976640301866,0.0,0.41892856981197657,0.0,0.33647842526585603,999.0,0.0,0.0
Gln,0.40357886739487187,0.047283500791436985,4.483918498860115,0.404095501097801,3.6014298002975678,0.32456468158147067,9.012106290525322,3.46283337520467,7.451246837112235
Glu,1.5948831219726785,0.053220042181982036,17.71977304038575,0.4867682136789351,14.232310131947731,0.39096641721444936,2.7470341328273493,15.426282185870555,6.385081805154846
Glyc,0.0,0.05302475117381665,0.0,0.48413021428442077,0.0,0.38884760759848824,999.0,0.0,0.0
Lac,0.1894285640797443,0.04205719655839432,2.104625170719399,0.32504770264369315,1.6904098078972831,0.26107443369384475,15.444446220919513,2.765479197535939,4.459418677232957
MM09,0.7970040236938275,0.13502581389108598,8.855025310356744,1.462149551714867,7.112250600276331,1.1743810618717336,16.512087774664543,7.005704125954792,23.471160858375555
MM12,0.38118714916758073,0.332031614720796,4.235137782890719,3.6736955157570375,3.401612099672698,2.9506683743315945,86.7432349095744,2.1817972470754485,34.93013079833515
MM14,0.5856150032562821,0.4932270425154476,6.506410911108661,5.46965323682185,5.225871557256198,4.393160172155663,84.06559793946134,3.7352170424855586,31.9702364877264
MM16,0.37632201196331183,0.20071261686682904,4.181084212517894,2.204584426452558,3.358196917348875,1.7706958885886426,52.72757769030759,3.537778480388751,22.37096613512335
MM21,2.7248389058298494,0.4970011398467471,30.27402216357839,5.51166322478156,24.31573312996153,4.426902092885645,18.20591659410373,8.017580970648309,64.97768681419957
MM30,0.45210802689546653,0.08696504744565502,5.023096373617227,0.9060273496770921,4.034491031518656,0.7277103492940852,18.037228081782644,4.286553317072256,22.238507223922397
MM39,4.433379854431731,1.2704796382436778,49.256577952358846,14.111531748565385,39.56229528779387,11.33421380875864,28.64902990665351,8.535974000311358,0.0
NAA,1.6461077817697336,0.04922841131652522,18.28889897392255,0.431814627869233,14.689425286400844,0.3468283532379112,2.3610750351070404,57.689242350050606,4.775760702690674
NAAG,0.029414895725676175,0.03634844139751526,0.3268109550378223,0.22450857214455558,0.2624906569635757,0.18032260451415563,68.69677062036457,1.1624728846978318,5.143495737085418
PCh,0.14708604063173913,0.03417464157248041,1.634183233552347,0.17742675138585742,1.3125564610414364,0.14250704823770913,10.857212810840775,15.436894596220128,4.777568048846659
PCr,0.2638387437087197,0.04249341442160006,2.931351265412103,0.33197712449906813,2.354426336044892,0.26664006259078504,11.32505436711616,9.246241674320581,4.762363502308908
PE,0.26460539818357287,0.06968035200519689,2.9398690954070625,0.6976111415720926,2.361267755393954,0.5603129394336744,23.729326678591427,1.9761222478633174,15.742834112451975
Scyllo,0.0355539690835166,0.030677325263715315,0.3950184525531636,0.05901626789393402,0.3172741045703775,0.04740116171816915,14.940129381928383,2.4841942473556307,4.765142359133279
Tau,0.27368041490418243,0.04764566187771184,3.0406960678738653,0.40931286805756173,2.4422507758052383,0.32875520842818895,13.461156883850087,2.990417695527691,12.645942633269847
bHB,0.0,0.04321721818272096,0.0,0.34331733035656486,0.0,0.27574838053346845,999.0,0.0,0.0
mI,0.8972828116905721,0.0580678260976237,9.969161725487552,0.5509442137416074,8.0071116661206,0.44251181420334695,5.5264848631459325,20.4785245467492,7.151053865763646
Cr+PCr,0.9999999999999999,0.04272898245172631,11.110389718381695,0.33568879548287633,8.923732363750942,0.26962123240762825,3.0213953244816665,,
